system:index,estado_code,estado_name,month,poblacion_afectada,year,.geo
5_000200000000000000b0,2054,Tabasco,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b1,2055,Tamaulipas,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b2,2056,Tlaxcala,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b3,2057,Veracruz,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b4,2058,Yucatan,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b5,2059,Zacatecas,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000300000000000001b8,2050,Quintana Roo,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000300000000000001b9,2052,Sinaloa,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00020000000000000098,2028,Aguascalientes,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00020000000000000099,2029,Baja California,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009a,2030,Baja California Sur,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009b,2031,Campeche,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009c,2032,Chiapas,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009d,2033,Chihuahua,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009e,2034,Coahuila,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0002000000000000009f,2035,Colima,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a0,2036,Distrito Federal,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a1,2037,Durango,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a2,2038,Guanajuato,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
